,TP,FN,FP,TN,Accuracy,Sensitivity,Specificity,F1,Precision
786,8569,1431,3572,6428,0.75,0.86,0.64,0.77,0.71
787,8568,1432,3571,6429,0.75,0.86,0.64,0.77,0.71
788,8567,1433,3570,6430,0.75,0.86,0.64,0.77,0.71
789,8566,1434,3569,6431,0.75,0.86,0.64,0.77,0.71
790,8565,1435,3568,6432,0.75,0.86,0.64,0.77,0.71
791,8564,1436,3567,6433,0.75,0.86,0.64,0.77,0.71
792,8563,1437,3566,6434,0.75,0.86,0.64,0.77,0.71
793,8562,1438,3565,6435,0.75,0.86,0.64,0.77,0.71
794,8561,1439,3564,6436,0.75,0.86,0.64,0.77,0.71
795,8560,1440,3563,6437,0.75,0.86,0.64,0.77,0.71
796,8559,1441,3562,6438,0.75,0.86,0.64,0.77,0.71
797,8558,1442,3561,6439,0.75,0.86,0.64,0.77,0.71
798,8557,1443,3560,6440,0.75,0.86,0.64,0.77,0.71
799,8556,1444,3559,6441,0.75,0.86,0.64,0.77,0.71
800,8555,1445,3558,6442,0.75,0.86,0.64,0.77,0.71
801,8554,1446,3557,6443,0.75,0.86,0.64,0.77,0.71
802,8553,1447,3556,6444,0.75,0.86,0.64,0.77,0.71
803,8552,1448,3555,6445,0.75,0.86,0.64,0.77,0.71
804,8551,1449,3554,6446,0.75,0.86,0.64,0.77,0.71
805,8550,1450,3553,6447,0.75,0.86,0.64,0.77,0.71
806,8590,1410,3594,6406,0.75,0.86,0.64,0.77,0.71
807,8589,1411,3593,6407,0.75,0.86,0.64,0.77,0.71
808,8588,1412,3592,6408,0.75,0.86,0.64,0.77,0.71
809,8587,1413,3591,6409,0.75,0.86,0.64,0.77,0.71
810,8586,1414,3590,6410,0.75,0.86,0.64,0.77,0.71
811,8585,1415,3589,6411,0.75,0.86,0.64,0.77,0.71
812,8584,1416,3588,6412,0.75,0.86,0.64,0.77,0.71
813,8583,1417,3587,6413,0.75,0.86,0.64,0.77,0.71
814,8582,1418,3586,6414,0.75,0.86,0.64,0.77,0.71
815,8581,1419,3585,6415,0.75,0.86,0.64,0.77,0.71
816,8580,1420,3584,6416,0.75,0.86,0.64,0.77,0.71
817,8579,1421,3583,6417,0.75,0.86,0.64,0.77,0.71
818,8578,1422,3582,6418,0.75,0.86,0.64,0.77,0.71
819,8577,1423,3581,6419,0.75,0.86,0.64,0.77,0.71
820,8576,1424,3580,6420,0.75,0.86,0.64,0.77,0.71
821,8575,1425,3579,6421,0.75,0.86,0.64,0.77,0.71
822,8574,1426,3578,6422,0.75,0.86,0.64,0.77,0.71
823,8573,1427,3577,6423,0.75,0.86,0.64,0.77,0.71
824,8572,1428,3576,6424,0.75,0.86,0.64,0.77,0.71
825,8571,1429,3575,6425,0.75,0.86,0.64,0.77,0.71
826,8570,1430,3574,6426,0.75,0.86,0.64,0.77,0.71
827,8569,1431,3573,6427,0.75,0.86,0.64,0.77,0.71
828,8568,1432,3572,6428,0.75,0.86,0.64,0.77,0.71
829,8567,1433,3571,6429,0.75,0.86,0.64,0.77,0.71
830,8566,1434,3570,6430,0.75,0.86,0.64,0.77,0.71
831,8565,1435,3569,6431,0.75,0.86,0.64,0.77,0.71
832,8564,1436,3568,6432,0.75,0.86,0.64,0.77,0.71
833,8563,1437,3567,6433,0.75,0.86,0.64,0.77,0.71
834,8562,1438,3566,6434,0.75,0.86,0.64,0.77,0.71
835,8561,1439,3565,6435,0.75,0.86,0.64,0.77,0.71
836,8560,1440,3564,6436,0.75,0.86,0.64,0.77,0.71
837,8559,1441,3563,6437,0.75,0.86,0.64,0.77,0.71
838,8558,1442,3562,6438,0.75,0.86,0.64,0.77,0.71
839,8557,1443,3561,6439,0.75,0.86,0.64,0.77,0.71
840,8556,1444,3560,6440,0.75,0.86,0.64,0.77,0.71
841,8555,1445,3559,6441,0.75,0.86,0.64,0.77,0.71
842,8554,1446,3558,6442,0.75,0.86,0.64,0.77,0.71
843,8553,1447,3557,6443,0.75,0.86,0.64,0.77,0.71
844,8552,1448,3556,6444,0.75,0.86,0.64,0.77,0.71
845,8551,1449,3555,6445,0.75,0.86,0.64,0.77,0.71
846,8550,1450,3554,6446,0.75,0.86,0.64,0.77,0.71
847,8588,1412,3593,6407,0.75,0.86,0.64,0.77,0.71
848,8587,1413,3592,6408,0.75,0.86,0.64,0.77,0.71
849,8586,1414,3591,6409,0.75,0.86,0.64,0.77,0.71
850,8585,1415,3590,6410,0.75,0.86,0.64,0.77,0.71
851,8584,1416,3589,6411,0.75,0.86,0.64,0.77,0.71
852,8583,1417,3588,6412,0.75,0.86,0.64,0.77,0.71
853,8582,1418,3587,6413,0.75,0.86,0.64,0.77,0.71
854,8581,1419,3586,6414,0.75,0.86,0.64,0.77,0.71
855,8580,1420,3585,6415,0.75,0.86,0.64,0.77,0.71
856,8579,1421,3584,6416,0.75,0.86,0.64,0.77,0.71
857,8578,1422,3583,6417,0.75,0.86,0.64,0.77,0.71
858,8577,1423,3582,6418,0.75,0.86,0.64,0.77,0.71
859,8576,1424,3581,6419,0.75,0.86,0.64,0.77,0.71
860,8575,1425,3580,6420,0.75,0.86,0.64,0.77,0.71
861,8574,1426,3579,6421,0.75,0.86,0.64,0.77,0.71
862,8573,1427,3578,6422,0.75,0.86,0.64,0.77,0.71
863,8572,1428,3577,6423,0.75,0.86,0.64,0.77,0.71
864,8571,1429,3576,6424,0.75,0.86,0.64,0.77,0.71
865,8570,1430,3575,6425,0.75,0.86,0.64,0.77,0.71
866,8569,1431,3574,6426,0.75,0.86,0.64,0.77,0.71
867,8568,1432,3573,6427,0.75,0.86,0.64,0.77,0.71
868,8567,1433,3572,6428,0.75,0.86,0.64,0.77,0.71
869,8566,1434,3571,6429,0.75,0.86,0.64,0.77,0.71
870,8565,1435,3570,6430,0.75,0.86,0.64,0.77,0.71
871,8564,1436,3569,6431,0.75,0.86,0.64,0.77,0.71
872,8563,1437,3568,6432,0.75,0.86,0.64,0.77,0.71
873,8562,1438,3567,6433,0.75,0.86,0.64,0.77,0.71
874,8561,1439,3566,6434,0.75,0.86,0.64,0.77,0.71
875,8560,1440,3565,6435,0.75,0.86,0.64,0.77,0.71
876,8559,1441,3564,6436,0.75,0.86,0.64,0.77,0.71
877,8558,1442,3563,6437,0.75,0.86,0.64,0.77,0.71
878,8557,1443,3562,6438,0.75,0.86,0.64,0.77,0.71
879,8556,1444,3561,6439,0.75,0.86,0.64,0.77,0.71
880,8555,1445,3560,6440,0.75,0.86,0.64,0.77,0.71
881,8554,1446,3559,6441,0.75,0.86,0.64,0.77,0.71
882,8553,1447,3558,6442,0.75,0.86,0.64,0.77,0.71
883,8552,1448,3557,6443,0.75,0.86,0.64,0.77,0.71
884,8551,1449,3556,6444,0.75,0.86,0.64,0.77,0.71
885,8550,1450,3555,6445,0.75,0.86,0.64,0.77,0.71
886,8587,1413,3593,6407,0.75,0.86,0.64,0.77,0.71
887,8586,1414,3592,6408,0.75,0.86,0.64,0.77,0.71
888,8585,1415,3591,6409,0.75,0.86,0.64,0.77,0.71
889,8584,1416,3590,6410,0.75,0.86,0.64,0.77,0.71
890,8583,1417,3589,6411,0.75,0.86,0.64,0.77,0.71
891,8582,1418,3588,6412,0.75,0.86,0.64,0.77,0.71
892,8581,1419,3587,6413,0.75,0.86,0.64,0.77,0.71
893,8580,1420,3586,6414,0.75,0.86,0.64,0.77,0.71
894,8579,1421,3585,6415,0.75,0.86,0.64,0.77,0.71
895,8578,1422,3584,6416,0.75,0.86,0.64,0.77,0.71
896,8577,1423,3583,6417,0.75,0.86,0.64,0.77,0.71
897,8576,1424,3582,6418,0.75,0.86,0.64,0.77,0.71
898,8575,1425,3581,6419,0.75,0.86,0.64,0.77,0.71
899,8574,1426,3580,6420,0.75,0.86,0.64,0.77,0.71
900,8573,1427,3579,6421,0.75,0.86,0.64,0.77,0.71
901,8572,1428,3578,6422,0.75,0.86,0.64,0.77,0.71
902,8571,1429,3577,6423,0.75,0.86,0.64,0.77,0.71
903,8570,1430,3576,6424,0.75,0.86,0.64,0.77,0.71
904,8569,1431,3575,6425,0.75,0.86,0.64,0.77,0.71
905,8568,1432,3574,6426,0.75,0.86,0.64,0.77,0.71
906,8567,1433,3573,6427,0.75,0.86,0.64,0.77,0.71
907,8566,1434,3572,6428,0.75,0.86,0.64,0.77,0.71
908,8565,1435,3571,6429,0.75,0.86,0.64,0.77,0.71
909,8564,1436,3570,6430,0.75,0.86,0.64,0.77,0.71
910,8563,1437,3569,6431,0.75,0.86,0.64,0.77,0.71
911,8562,1438,3568,6432,0.75,0.86,0.64,0.77,0.71
912,8561,1439,3567,6433,0.75,0.86,0.64,0.77,0.71
913,8560,1440,3566,6434,0.75,0.86,0.64,0.77,0.71
914,8559,1441,3565,6435,0.75,0.86,0.64,0.77,0.71
915,8558,1442,3564,6436,0.75,0.86,0.64,0.77,0.71
916,8557,1443,3563,6437,0.75,0.86,0.64,0.77,0.71
917,8556,1444,3562,6438,0.75,0.86,0.64,0.77,0.71
918,8555,1445,3561,6439,0.75,0.86,0.64,0.77,0.71
919,8554,1446,3560,6440,0.75,0.86,0.64,0.77,0.71
920,8553,1447,3559,6441,0.75,0.86,0.64,0.77,0.71
921,8552,1448,3558,6442,0.75,0.86,0.64,0.77,0.71
922,8551,1449,3557,6443,0.75,0.86,0.64,0.77,0.71
923,8550,1450,3556,6444,0.75,0.86,0.64,0.77,0.71
924,8585,1415,3592,6408,0.75,0.86,0.64,0.77,0.71
925,8584,1416,3591,6409,0.75,0.86,0.64,0.77,0.71
926,8583,1417,3590,6410,0.75,0.86,0.64,0.77,0.71
927,8582,1418,3589,6411,0.75,0.86,0.64,0.77,0.71
928,8581,1419,3588,6412,0.75,0.86,0.64,0.77,0.71
929,8580,1420,3587,6413,0.75,0.86,0.64,0.77,0.71
930,8579,1421,3586,6414,0.75,0.86,0.64,0.77,0.71
931,8578,1422,3585,6415,0.75,0.86,0.64,0.77,0.71
932,8577,1423,3584,6416,0.75,0.86,0.64,0.77,0.71
933,8576,1424,3583,6417,0.75,0.86,0.64,0.77,0.71
934,8575,1425,3582,6418,0.75,0.86,0.64,0.77,0.71
935,8574,1426,3581,6419,0.75,0.86,0.64,0.77,0.71
936,8573,1427,3580,6420,0.75,0.86,0.64,0.77,0.71
937,8572,1428,3579,6421,0.75,0.86,0.64,0.77,0.71
938,8571,1429,3578,6422,0.75,0.86,0.64,0.77,0.71
939,8570,1430,3577,6423,0.75,0.86,0.64,0.77,0.71
940,8569,1431,3576,6424,0.75,0.86,0.64,0.77,0.71
941,8568,1432,3575,6425,0.75,0.86,0.64,0.77,0.71
942,8567,1433,3574,6426,0.75,0.86,0.64,0.77,0.71
943,8566,1434,3573,6427,0.75,0.86,0.64,0.77,0.71
944,8565,1435,3572,6428,0.75,0.86,0.64,0.77,0.71
945,8564,1436,3571,6429,0.75,0.86,0.64,0.77,0.71
946,8563,1437,3570,6430,0.75,0.86,0.64,0.77,0.71
947,8562,1438,3569,6431,0.75,0.86,0.64,0.77,0.71
948,8561,1439,3568,6432,0.75,0.86,0.64,0.77,0.71
949,8560,1440,3567,6433,0.75,0.86,0.64,0.77,0.71
950,8559,1441,3566,6434,0.75,0.86,0.64,0.77,0.71
951,8558,1442,3565,6435,0.75,0.86,0.64,0.77,0.71
952,8557,1443,3564,6436,0.75,0.86,0.64,0.77,0.71
953,8556,1444,3563,6437,0.75,0.86,0.64,0.77,0.71
954,8555,1445,3562,6438,0.75,0.86,0.64,0.77,0.71
955,8554,1446,3561,6439,0.75,0.86,0.64,0.77,0.71
956,8553,1447,3560,6440,0.75,0.86,0.64,0.77,0.71
957,8552,1448,3559,6441,0.75,0.86,0.64,0.77,0.71
958,8551,1449,3558,6442,0.75,0.86,0.64,0.77,0.71
959,8550,1450,3557,6443,0.75,0.86,0.64,0.77,0.71
960,8583,1417,3591,6409,0.75,0.86,0.64,0.77,0.71
961,8582,1418,3590,6410,0.75,0.86,0.64,0.77,0.71
962,8581,1419,3589,6411,0.75,0.86,0.64,0.77,0.71
963,8580,1420,3588,6412,0.75,0.86,0.64,0.77,0.71
964,8579,1421,3587,6413,0.75,0.86,0.64,0.77,0.71
965,8578,1422,3586,6414,0.75,0.86,0.64,0.77,0.71
966,8577,1423,3585,6415,0.75,0.86,0.64,0.77,0.71
967,8576,1424,3584,6416,0.75,0.86,0.64,0.77,0.71
968,8575,1425,3583,6417,0.75,0.86,0.64,0.77,0.71
969,8574,1426,3582,6418,0.75,0.86,0.64,0.77,0.71
