,TP,FN,FP,TN,Accuracy,Sensitivity,Specificity,F1,Precision
1092,8571,1429,3583,6417,0.75,0.86,0.64,0.77,0.71
1093,8570,1430,3582,6418,0.75,0.86,0.64,0.77,0.71
1094,8569,1431,3581,6419,0.75,0.86,0.64,0.77,0.71
1095,8568,1432,3580,6420,0.75,0.86,0.64,0.77,0.71
1096,8567,1433,3579,6421,0.75,0.86,0.64,0.77,0.71
1097,8566,1434,3578,6422,0.75,0.86,0.64,0.77,0.71
1098,8565,1435,3577,6423,0.75,0.86,0.64,0.77,0.71
1099,8564,1436,3576,6424,0.75,0.86,0.64,0.77,0.71
1100,8563,1437,3575,6425,0.75,0.86,0.64,0.77,0.71
1101,8562,1438,3574,6426,0.75,0.86,0.64,0.77,0.71
1102,8561,1439,3573,6427,0.75,0.86,0.64,0.77,0.71
1103,8560,1440,3572,6428,0.75,0.86,0.64,0.77,0.71
1104,8559,1441,3571,6429,0.75,0.86,0.64,0.77,0.71
1105,8558,1442,3570,6430,0.75,0.86,0.64,0.77,0.71
1106,8557,1443,3569,6431,0.75,0.86,0.64,0.77,0.71
1107,8556,1444,3568,6432,0.75,0.86,0.64,0.77,0.71
1108,8555,1445,3567,6433,0.75,0.86,0.64,0.77,0.71
1109,8554,1446,3566,6434,0.75,0.86,0.64,0.77,0.71
1110,8553,1447,3565,6435,0.75,0.86,0.64,0.77,0.71
1111,8552,1448,3564,6436,0.75,0.86,0.64,0.77,0.71
1112,8551,1449,3563,6437,0.75,0.86,0.64,0.77,0.71
1113,8550,1450,3562,6438,0.75,0.86,0.64,0.77,0.71
1114,8575,1425,3588,6412,0.75,0.86,0.64,0.77,0.71
1115,8574,1426,3587,6413,0.75,0.86,0.64,0.77,0.71
1116,8573,1427,3586,6414,0.75,0.86,0.64,0.77,0.71
1117,8572,1428,3585,6415,0.75,0.86,0.64,0.77,0.71
1118,8571,1429,3584,6416,0.75,0.86,0.64,0.77,0.71
1119,8570,1430,3583,6417,0.75,0.86,0.64,0.77,0.71
1120,8569,1431,3582,6418,0.75,0.86,0.64,0.77,0.71
1121,8568,1432,3581,6419,0.75,0.86,0.64,0.77,0.71
1122,8567,1433,3580,6420,0.75,0.86,0.64,0.77,0.71
1123,8566,1434,3579,6421,0.75,0.86,0.64,0.77,0.71
1124,8565,1435,3578,6422,0.75,0.86,0.64,0.77,0.71
1125,8564,1436,3577,6423,0.75,0.86,0.64,0.77,0.71
1126,8563,1437,3576,6424,0.75,0.86,0.64,0.77,0.71
1127,8562,1438,3575,6425,0.75,0.86,0.64,0.77,0.71
1128,8561,1439,3574,6426,0.75,0.86,0.64,0.77,0.71
1129,8560,1440,3573,6427,0.75,0.86,0.64,0.77,0.71
1130,8559,1441,3572,6428,0.75,0.86,0.64,0.77,0.71
1131,8558,1442,3571,6429,0.75,0.86,0.64,0.77,0.71
1132,8557,1443,3570,6430,0.75,0.86,0.64,0.77,0.71
1133,8556,1444,3569,6431,0.75,0.86,0.64,0.77,0.71
1134,8555,1445,3568,6432,0.75,0.86,0.64,0.77,0.71
1135,8554,1446,3567,6433,0.75,0.86,0.64,0.77,0.71
1136,8553,1447,3566,6434,0.75,0.86,0.64,0.77,0.71
1137,8552,1448,3565,6435,0.75,0.86,0.64,0.77,0.71
1138,8551,1449,3564,6436,0.75,0.86,0.64,0.77,0.71
1139,8550,1450,3563,6437,0.75,0.86,0.64,0.77,0.71
1140,8573,1427,3587,6413,0.75,0.86,0.64,0.77,0.71
1141,8572,1428,3586,6414,0.75,0.86,0.64,0.77,0.71
1142,8571,1429,3585,6415,0.75,0.86,0.64,0.77,0.71
1143,8570,1430,3584,6416,0.75,0.86,0.64,0.77,0.71
1144,8569,1431,3583,6417,0.75,0.86,0.64,0.77,0.71
1145,8568,1432,3582,6418,0.75,0.86,0.64,0.77,0.71
1146,8567,1433,3581,6419,0.75,0.86,0.64,0.77,0.71
1147,8566,1434,3580,6420,0.75,0.86,0.64,0.77,0.71
1148,8565,1435,3579,6421,0.75,0.86,0.64,0.77,0.71
1149,8564,1436,3578,6422,0.75,0.86,0.64,0.77,0.71
1150,8563,1437,3577,6423,0.75,0.86,0.64,0.77,0.71
1151,8562,1438,3576,6424,0.75,0.86,0.64,0.77,0.71
1152,8561,1439,3575,6425,0.75,0.86,0.64,0.77,0.71
1153,8560,1440,3574,6426,0.75,0.86,0.64,0.77,0.71
1154,8559,1441,3573,6427,0.75,0.86,0.64,0.77,0.71
1155,8558,1442,3572,6428,0.75,0.86,0.64,0.77,0.71
1156,8557,1443,3571,6429,0.75,0.86,0.64,0.77,0.71
1157,8556,1444,3570,6430,0.75,0.86,0.64,0.77,0.71
1158,8555,1445,3569,6431,0.75,0.86,0.64,0.77,0.71
1159,8554,1446,3568,6432,0.75,0.86,0.64,0.77,0.71
1160,8553,1447,3567,6433,0.75,0.86,0.64,0.77,0.71
1161,8552,1448,3566,6434,0.75,0.86,0.64,0.77,0.71
1162,8551,1449,3565,6435,0.75,0.86,0.64,0.77,0.71
1163,8550,1450,3564,6436,0.75,0.86,0.64,0.77,0.71
1164,8571,1429,3586,6414,0.75,0.86,0.64,0.77,0.71
1165,8570,1430,3585,6415,0.75,0.86,0.64,0.77,0.71
1166,8569,1431,3584,6416,0.75,0.86,0.64,0.77,0.71
1167,8568,1432,3583,6417,0.75,0.86,0.64,0.77,0.71
1168,8567,1433,3582,6418,0.75,0.86,0.64,0.77,0.71
1169,8566,1434,3581,6419,0.75,0.86,0.64,0.77,0.71
1170,8565,1435,3580,6420,0.75,0.86,0.64,0.77,0.71
1171,8564,1436,3579,6421,0.75,0.86,0.64,0.77,0.71
1172,8563,1437,3578,6422,0.75,0.86,0.64,0.77,0.71
1173,8562,1438,3577,6423,0.75,0.86,0.64,0.77,0.71
1174,8561,1439,3576,6424,0.75,0.86,0.64,0.77,0.71
1175,8560,1440,3575,6425,0.75,0.86,0.64,0.77,0.71
1176,8559,1441,3574,6426,0.75,0.86,0.64,0.77,0.71
1177,8558,1442,3573,6427,0.75,0.86,0.64,0.77,0.71
1178,8557,1443,3572,6428,0.75,0.86,0.64,0.77,0.71
1179,8556,1444,3571,6429,0.75,0.86,0.64,0.77,0.71
1180,8555,1445,3570,6430,0.75,0.86,0.64,0.77,0.71
1181,8554,1446,3569,6431,0.75,0.86,0.64,0.77,0.71
1182,8553,1447,3568,6432,0.75,0.86,0.64,0.77,0.71
1183,8552,1448,3567,6433,0.75,0.86,0.64,0.77,0.71
1184,8551,1449,3566,6434,0.75,0.86,0.64,0.77,0.71
1185,8550,1450,3565,6435,0.75,0.86,0.64,0.77,0.71
1186,8570,1430,3586,6414,0.75,0.86,0.64,0.77,0.71
1187,8569,1431,3585,6415,0.75,0.86,0.64,0.77,0.71
1188,8568,1432,3584,6416,0.75,0.86,0.64,0.77,0.71
1189,8567,1433,3583,6417,0.75,0.86,0.64,0.77,0.71
1190,8566,1434,3582,6418,0.75,0.86,0.64,0.77,0.71
1191,8565,1435,3581,6419,0.75,0.86,0.64,0.77,0.71
1192,8564,1436,3580,6420,0.75,0.86,0.64,0.77,0.71
1193,8563,1437,3579,6421,0.75,0.86,0.64,0.77,0.71
1194,8562,1438,3578,6422,0.75,0.86,0.64,0.77,0.71
1195,8561,1439,3577,6423,0.75,0.86,0.64,0.77,0.71
1196,8560,1440,3576,6424,0.75,0.86,0.64,0.77,0.71
1197,8559,1441,3575,6425,0.75,0.86,0.64,0.77,0.71
1198,8558,1442,3574,6426,0.75,0.86,0.64,0.77,0.71
1199,8557,1443,3573,6427,0.75,0.86,0.64,0.77,0.71
1200,8556,1444,3572,6428,0.75,0.86,0.64,0.77,0.71
1201,8555,1445,3571,6429,0.75,0.86,0.64,0.77,0.71
1202,8554,1446,3570,6430,0.75,0.86,0.64,0.77,0.71
1203,8553,1447,3569,6431,0.75,0.86,0.64,0.77,0.71
1204,8552,1448,3568,6432,0.75,0.86,0.64,0.77,0.71
1205,8551,1449,3567,6433,0.75,0.86,0.64,0.77,0.71
1206,8550,1450,3566,6434,0.75,0.86,0.64,0.77,0.71
1207,8568,1432,3585,6415,0.75,0.86,0.64,0.77,0.71
1208,8567,1433,3584,6416,0.75,0.86,0.64,0.77,0.71
1209,8566,1434,3583,6417,0.75,0.86,0.64,0.77,0.71
1210,8565,1435,3582,6418,0.75,0.86,0.64,0.77,0.71
1211,8564,1436,3581,6419,0.75,0.86,0.64,0.77,0.71
1212,8563,1437,3580,6420,0.75,0.86,0.64,0.77,0.71
1213,8562,1438,3579,6421,0.75,0.86,0.64,0.77,0.71
1214,8561,1439,3578,6422,0.75,0.86,0.64,0.77,0.71
1215,8560,1440,3577,6423,0.75,0.86,0.64,0.77,0.71
1216,8559,1441,3576,6424,0.75,0.86,0.64,0.77,0.71
1217,8558,1442,3575,6425,0.75,0.86,0.64,0.77,0.71
1218,8557,1443,3574,6426,0.75,0.86,0.64,0.77,0.71
1219,8556,1444,3573,6427,0.75,0.86,0.64,0.77,0.71
1220,8555,1445,3572,6428,0.75,0.86,0.64,0.77,0.71
1221,8554,1446,3571,6429,0.75,0.86,0.64,0.77,0.71
1222,8553,1447,3570,6430,0.75,0.86,0.64,0.77,0.71
1223,8552,1448,3569,6431,0.75,0.86,0.64,0.77,0.71
1224,8551,1449,3568,6432,0.75,0.86,0.64,0.77,0.71
1225,8550,1450,3567,6433,0.75,0.86,0.64,0.77,0.71
1226,8566,1434,3584,6416,0.75,0.86,0.64,0.77,0.71
1227,8565,1435,3583,6417,0.75,0.86,0.64,0.77,0.71
1228,8564,1436,3582,6418,0.75,0.86,0.64,0.77,0.71
1229,8563,1437,3581,6419,0.75,0.86,0.64,0.77,0.71
1230,8562,1438,3580,6420,0.75,0.86,0.64,0.77,0.71
1231,8561,1439,3579,6421,0.75,0.86,0.64,0.77,0.71
1232,8560,1440,3578,6422,0.75,0.86,0.64,0.77,0.71
1233,8559,1441,3577,6423,0.75,0.86,0.64,0.77,0.71
1234,8558,1442,3576,6424,0.75,0.86,0.64,0.77,0.71
1235,8557,1443,3575,6425,0.75,0.86,0.64,0.77,0.71
1236,8556,1444,3574,6426,0.75,0.86,0.64,0.77,0.71
1237,8555,1445,3573,6427,0.75,0.86,0.64,0.77,0.71
1238,8554,1446,3572,6428,0.75,0.86,0.64,0.77,0.71
1239,8553,1447,3571,6429,0.75,0.86,0.64,0.77,0.71
1240,8552,1448,3570,6430,0.75,0.86,0.64,0.77,0.71
1241,8551,1449,3569,6431,0.75,0.86,0.64,0.77,0.71
1242,8550,1450,3568,6432,0.75,0.86,0.64,0.77,0.71
1243,8564,1436,3583,6417,0.75,0.86,0.64,0.77,0.71
1244,8563,1437,3582,6418,0.75,0.86,0.64,0.77,0.71
1245,8562,1438,3581,6419,0.75,0.86,0.64,0.77,0.71
1246,8561,1439,3580,6420,0.75,0.86,0.64,0.77,0.71
1247,8560,1440,3579,6421,0.75,0.86,0.64,0.77,0.71
1248,8559,1441,3578,6422,0.75,0.86,0.64,0.77,0.71
1249,8558,1442,3577,6423,0.75,0.86,0.64,0.77,0.71
1250,8557,1443,3576,6424,0.75,0.86,0.64,0.77,0.71
1251,8556,1444,3575,6425,0.75,0.86,0.64,0.77,0.71
1252,8555,1445,3574,6426,0.75,0.86,0.64,0.77,0.71
1253,8554,1446,3573,6427,0.75,0.86,0.64,0.77,0.71
1254,8553,1447,3572,6428,0.75,0.86,0.64,0.77,0.71
1255,8552,1448,3571,6429,0.75,0.86,0.64,0.77,0.71
1256,8551,1449,3570,6430,0.75,0.86,0.64,0.77,0.71
1257,8550,1450,3569,6431,0.75,0.86,0.64,0.77,0.71
1258,8563,1437,3583,6417,0.75,0.86,0.64,0.77,0.71
1259,8562,1438,3582,6418,0.75,0.86,0.64,0.77,0.71
1260,8561,1439,3581,6419,0.75,0.86,0.64,0.77,0.71
1261,8560,1440,3580,6420,0.75,0.86,0.64,0.77,0.71
1262,8559,1441,3579,6421,0.75,0.86,0.64,0.77,0.71
1263,8558,1442,3578,6422,0.75,0.86,0.64,0.77,0.71
1264,8557,1443,3577,6423,0.75,0.86,0.64,0.77,0.71
1265,8556,1444,3576,6424,0.75,0.86,0.64,0.77,0.71
1266,8555,1445,3575,6425,0.75,0.86,0.64,0.77,0.71
1267,8554,1446,3574,6426,0.75,0.86,0.64,0.77,0.71
1268,8553,1447,3573,6427,0.75,0.86,0.64,0.77,0.71
1269,8552,1448,3572,6428,0.75,0.86,0.64,0.77,0.71
1270,8551,1449,3571,6429,0.75,0.86,0.64,0.77,0.71
1271,8550,1450,3570,6430,0.75,0.86,0.64,0.77,0.71
1272,8561,1439,3582,6418,0.75,0.86,0.64,0.77,0.71
1273,8560,1440,3581,6419,0.75,0.86,0.64,0.77,0.71
1274,8559,1441,3580,6420,0.75,0.86,0.64,0.77,0.71
1275,8558,1442,3579,6421,0.75,0.86,0.64,0.77,0.71
1276,8557,1443,3578,6422,0.75,0.86,0.64,0.77,0.71
1277,8556,1444,3577,6423,0.75,0.86,0.64,0.77,0.71
1278,8555,1445,3576,6424,0.75,0.86,0.64,0.77,0.71
1279,8554,1446,3575,6425,0.75,0.86,0.64,0.77,0.71
1280,8553,1447,3574,6426,0.75,0.86,0.64,0.77,0.71
1281,8552,1448,3573,6427,0.75,0.86,0.64,0.77,0.71
1282,8551,1449,3572,6428,0.75,0.86,0.64,0.77,0.71
1283,8550,1450,3571,6429,0.75,0.86,0.64,0.77,0.71
1284,8559,1441,3581,6419,0.75,0.86,0.64,0.77,0.71
1285,8558,1442,3580,6420,0.75,0.86,0.64,0.77,0.71
1286,8557,1443,3579,6421,0.75,0.86,0.64,0.77,0.71
1287,8556,1444,3578,6422,0.75,0.86,0.64,0.77,0.71
1288,8555,1445,3577,6423,0.75,0.86,0.64,0.77,0.71
1289,8554,1446,3576,6424,0.75,0.86,0.64,0.77,0.71
1290,8553,1447,3575,6425,0.75,0.86,0.64,0.77,0.71
1291,8552,1448,3574,6426,0.75,0.86,0.64,0.77,0.71
1292,8551,1449,3573,6427,0.75,0.86,0.64,0.77,0.71
1293,8550,1450,3572,6428,0.75,0.86,0.64,0.77,0.71
1294,8558,1442,3581,6419,0.75,0.86,0.64,0.77,0.71
1295,8557,1443,3580,6420,0.75,0.86,0.64,0.77,0.71
1296,8556,1444,3579,6421,0.75,0.86,0.64,0.77,0.71
1297,8555,1445,3578,6422,0.75,0.86,0.64,0.77,0.71
1298,8554,1446,3577,6423,0.75,0.86,0.64,0.77,0.71
1299,8553,1447,3576,6424,0.75,0.86,0.64,0.77,0.71
1300,8552,1448,3575,6425,0.75,0.86,0.64,0.77,0.71
1301,8551,1449,3574,6426,0.75,0.86,0.64,0.77,0.71
1302,8550,1450,3573,6427,0.75,0.86,0.64,0.77,0.71
1303,8556,1444,3580,6420,0.75,0.86,0.64,0.77,0.71
1304,8555,1445,3579,6421,0.75,0.86,0.64,0.77,0.71
1305,8554,1446,3578,6422,0.75,0.86,0.64,0.77,0.71
1306,8553,1447,3577,6423,0.75,0.86,0.64,0.77,0.71
1307,8552,1448,3576,6424,0.75,0.86,0.64,0.77,0.71
1308,8551,1449,3575,6425,0.75,0.86,0.64,0.77,0.71
1309,8550,1450,3574,6426,0.75,0.86,0.64,0.77,0.71
1310,8554,1446,3579,6421,0.75,0.86,0.64,0.77,0.71
1311,8553,1447,3578,6422,0.75,0.86,0.64,0.77,0.71
1312,8552,1448,3577,6423,0.75,0.86,0.64,0.77,0.71
1313,8551,1449,3576,6424,0.75,0.86,0.64,0.77,0.71
1314,8550,1450,3575,6425,0.75,0.86,0.64,0.77,0.71
1315,8552,1448,3578,6422,0.75,0.86,0.64,0.77,0.71
1316,8551,1449,3577,6423,0.75,0.86,0.64,0.77,0.71
1317,8550,1450,3576,6424,0.75,0.86,0.64,0.77,0.71
1318,8551,1449,3578,6422,0.75,0.86,0.64,0.77,0.71
1319,8550,1450,3577,6423,0.75,0.86,0.64,0.77,0.71
