TP,FN,FP,TN,Accuracy,Sensitivity,Specificity,F1,Precision,
8573,1427,3561,6439,0.75,0.86,0.64,0.77,0.71,
8572,1428,3560,6440,0.75,0.86,0.64,0.77,0.71,
8571,1429,3559,6441,0.75,0.86,0.64,0.77,0.71,
8570,1430,3558,6442,0.75,0.86,0.64,0.77,0.71,
8569,1431,3557,6443,0.75,0.86,0.64,0.77,0.71,
8568,1432,3556,6444,0.75,0.86,0.64,0.77,0.71,
8567,1433,3555,6445,0.75,0.86,0.64,0.77,0.71,
8566,1434,3554,6446,0.75,0.86,0.64,0.77,0.71,
8565,1435,3553,6447,0.75,0.86,0.64,0.77,0.71,
8564,1436,3552,6448,0.75,0.86,0.64,0.77,0.71,
8563,1437,3551,6449,0.75,0.86,0.64,0.77,0.71,
8592,1408,3581,6419,0.75,0.86,0.64,0.77,0.71,
8591,1409,3580,6420,0.75,0.86,0.64,0.77,0.71,
8590,1410,3579,6421,0.75,0.86,0.64,0.77,0.71,
8589,1411,3578,6422,0.75,0.86,0.64,0.77,0.71,
8588,1412,3577,6423,0.75,0.86,0.64,0.77,0.71,
8587,1413,3576,6424,0.75,0.86,0.64,0.77,0.71,
8586,1414,3575,6425,0.75,0.86,0.64,0.77,0.71,
8585,1415,3574,6426,0.75,0.86,0.64,0.77,0.71,
8584,1416,3573,6427,0.75,0.86,0.64,0.77,0.71,
8583,1417,3572,6428,0.75,0.86,0.64,0.77,0.71,
8582,1418,3571,6429,0.75,0.86,0.64,0.77,0.71,
8581,1419,3570,6430,0.75,0.86,0.64,0.77,0.71,
8580,1420,3569,6431,0.75,0.86,0.64,0.77,0.71,
8579,1421,3568,6432,0.75,0.86,0.64,0.77,0.71,
8578,1422,3567,6433,0.75,0.86,0.64,0.77,0.71,
8577,1423,3566,6434,0.75,0.86,0.64,0.77,0.71,
8576,1424,3565,6435,0.75,0.86,0.64,0.77,0.71,
8575,1425,3564,6436,0.75,0.86,0.64,0.77,0.71,
8574,1426,3563,6437,0.75,0.86,0.64,0.77,0.71,
8573,1427,3562,6438,0.75,0.86,0.64,0.77,0.71,
8572,1428,3561,6439,0.75,0.86,0.64,0.77,0.71,
8571,1429,3560,6440,0.75,0.86,0.64,0.77,0.71,
8570,1430,3559,6441,0.75,0.86,0.64,0.77,0.71,
8569,1431,3558,6442,0.75,0.86,0.64,0.77,0.71,
8568,1432,3557,6443,0.75,0.86,0.64,0.77,0.71,
8567,1433,3556,6444,0.75,0.86,0.64,0.77,0.71,
8566,1434,3555,6445,0.75,0.86,0.64,0.77,0.71,
8565,1435,3554,6446,0.75,0.86,0.64,0.77,0.71,
8564,1436,3553,6447,0.75,0.86,0.64,0.77,0.71,
8563,1437,3552,6448,0.75,0.86,0.64,0.77,0.71,
8562,1438,3551,6449,0.75,0.86,0.64,0.77,0.71,
8593,1407,3583,6417,0.75,0.86,0.64,0.77,0.71,
8592,1408,3582,6418,0.75,0.86,0.64,0.77,0.71,
8591,1409,3581,6419,0.75,0.86,0.64,0.77,0.71,
8590,1410,3580,6420,0.75,0.86,0.64,0.77,0.71,
8589,1411,3579,6421,0.75,0.86,0.64,0.77,0.71,
8588,1412,3578,6422,0.75,0.86,0.64,0.77,0.71,
8587,1413,3577,6423,0.75,0.86,0.64,0.77,0.71,
8586,1414,3576,6424,0.75,0.86,0.64,0.77,0.71,
8585,1415,3575,6425,0.75,0.86,0.64,0.77,0.71,
8584,1416,3574,6426,0.75,0.86,0.64,0.77,0.71,
8583,1417,3573,6427,0.75,0.86,0.64,0.77,0.71,
8582,1418,3572,6428,0.75,0.86,0.64,0.77,0.71,
8581,1419,3571,6429,0.75,0.86,0.64,0.77,0.71,
8580,1420,3570,6430,0.75,0.86,0.64,0.77,0.71,
8579,1421,3569,6431,0.75,0.86,0.64,0.77,0.71,
8578,1422,3568,6432,0.75,0.86,0.64,0.77,0.71,
8577,1423,3567,6433,0.75,0.86,0.64,0.77,0.71,
8576,1424,3566,6434,0.75,0.86,0.64,0.77,0.71,
8575,1425,3565,6435,0.75,0.86,0.64,0.77,0.71,
8574,1426,3564,6436,0.75,0.86,0.64,0.77,0.71,
8573,1427,3563,6437,0.75,0.86,0.64,0.77,0.71,
8572,1428,3562,6438,0.75,0.86,0.64,0.77,0.71,
8571,1429,3561,6439,0.75,0.86,0.64,0.77,0.71,
8570,1430,3560,6440,0.75,0.86,0.64,0.77,0.71,
8569,1431,3559,6441,0.75,0.86,0.64,0.77,0.71,
8568,1432,3558,6442,0.75,0.86,0.64,0.77,0.71,
8567,1433,3557,6443,0.75,0.86,0.64,0.77,0.71,
8566,1434,3556,6444,0.75,0.86,0.64,0.77,0.71,
8565,1435,3555,6445,0.75,0.86,0.64,0.77,0.71,
8564,1436,3554,6446,0.75,0.86,0.64,0.77,0.71,
8563,1437,3553,6447,0.75,0.86,0.64,0.77,0.71,
8562,1438,3552,6448,0.75,0.86,0.64,0.77,0.71,
8561,1439,3551,6449,0.75,0.86,0.64,0.77,0.71,
8595,1405,3586,6414,0.75,0.86,0.64,0.77,0.71,
8594,1406,3585,6415,0.75,0.86,0.64,0.77,0.71,
8593,1407,3584,6416,0.75,0.86,0.64,0.77,0.71,
8592,1408,3583,6417,0.75,0.86,0.64,0.77,0.71,
8591,1409,3582,6418,0.75,0.86,0.64,0.77,0.71,
8590,1410,3581,6419,0.75,0.86,0.64,0.77,0.71,
8589,1411,3580,6420,0.75,0.86,0.64,0.77,0.71,
8588,1412,3579,6421,0.75,0.86,0.64,0.77,0.71,
8587,1413,3578,6422,0.75,0.86,0.64,0.77,0.71,
8586,1414,3577,6423,0.75,0.86,0.64,0.77,0.71,
8585,1415,3576,6424,0.75,0.86,0.64,0.77,0.71,
8584,1416,3575,6425,0.75,0.86,0.64,0.77,0.71,
8583,1417,3574,6426,0.75,0.86,0.64,0.77,0.71,
8582,1418,3573,6427,0.75,0.86,0.64,0.77,0.71,
8581,1419,3572,6428,0.75,0.86,0.64,0.77,0.71,
8580,1420,3571,6429,0.75,0.86,0.64,0.77,0.71,
8579,1421,3570,6430,0.75,0.86,0.64,0.77,0.71,
8578,1422,3569,6431,0.75,0.86,0.64,0.77,0.71,
8577,1423,3568,6432,0.75,0.86,0.64,0.77,0.71,
8576,1424,3567,6433,0.75,0.86,0.64,0.77,0.71,
8575,1425,3566,6434,0.75,0.86,0.64,0.77,0.71,
8574,1426,3565,6435,0.75,0.86,0.64,0.77,0.71,
8573,1427,3564,6436,0.75,0.86,0.64,0.77,0.71,
8572,1428,3563,6437,0.75,0.86,0.64,0.77,0.71,
8571,1429,3562,6438,0.75,0.86,0.64,0.77,0.71,
8570,1430,3561,6439,0.75,0.86,0.64,0.77,0.71,
8569,1431,3560,6440,0.75,0.86,0.64,0.77,0.71,
8568,1432,3559,6441,0.75,0.86,0.64,0.77,0.71,
8567,1433,3558,6442,0.75,0.86,0.64,0.77,0.71,
8566,1434,3557,6443,0.75,0.86,0.64,0.77,0.71,
8565,1435,3556,6444,0.75,0.86,0.64,0.77,0.71,
8564,1436,3555,6445,0.75,0.86,0.64,0.77,0.71,
8563,1437,3554,6446,0.75,0.86,0.64,0.77,0.71,
8562,1438,3553,6447,0.75,0.86,0.64,0.77,0.71,
8561,1439,3552,6448,0.75,0.86,0.64,0.77,0.71,
8560,1440,3551,6449,0.75,0.86,0.64,0.77,0.71,
8597,1403,3589,6411,0.75,0.86,0.64,0.77,0.71,
8596,1404,3588,6412,0.75,0.86,0.64,0.77,0.71,
8595,1405,3587,6413,0.75,0.86,0.64,0.77,0.71,
8594,1406,3586,6414,0.75,0.86,0.64,0.77,0.71,
8593,1407,3585,6415,0.75,0.86,0.64,0.77,0.71,
8592,1408,3584,6416,0.75,0.86,0.64,0.77,0.71,
8591,1409,3583,6417,0.75,0.86,0.64,0.77,0.71,
8590,1410,3582,6418,0.75,0.86,0.64,0.77,0.71,
8589,1411,3581,6419,0.75,0.86,0.64,0.77,0.71,
8588,1412,3580,6420,0.75,0.86,0.64,0.77,0.71,
8587,1413,3579,6421,0.75,0.86,0.64,0.77,0.71,
8586,1414,3578,6422,0.75,0.86,0.64,0.77,0.71,
8585,1415,3577,6423,0.75,0.86,0.64,0.77,0.71,
8584,1416,3576,6424,0.75,0.86,0.64,0.77,0.71,
8583,1417,3575,6425,0.75,0.86,0.64,0.77,0.71,
8582,1418,3574,6426,0.75,0.86,0.64,0.77,0.71,
8581,1419,3573,6427,0.75,0.86,0.64,0.77,0.71,
8580,1420,3572,6428,0.75,0.86,0.64,0.77,0.71,
8579,1421,3571,6429,0.75,0.86,0.64,0.77,0.71,
8578,1422,3570,6430,0.75,0.86,0.64,0.77,0.71,
8577,1423,3569,6431,0.75,0.86,0.64,0.77,0.71,
8576,1424,3568,6432,0.75,0.86,0.64,0.77,0.71,
8575,1425,3567,6433,0.75,0.86,0.64,0.77,0.71,
8574,1426,3566,6434,0.75,0.86,0.64,0.77,0.71,
8573,1427,3565,6435,0.75,0.86,0.64,0.77,0.71,
8572,1428,3564,6436,0.75,0.86,0.64,0.77,0.71,
8571,1429,3563,6437,0.75,0.86,0.64,0.77,0.71,
8570,1430,3562,6438,0.75,0.86,0.64,0.77,0.71,
8569,1431,3561,6439,0.75,0.86,0.64,0.77,0.71,
8568,1432,3560,6440,0.75,0.86,0.64,0.77,0.71,
8567,1433,3559,6441,0.75,0.86,0.64,0.77,0.71,
8566,1434,3558,6442,0.75,0.86,0.64,0.77,0.71,
8565,1435,3557,6443,0.75,0.86,0.64,0.77,0.71,
8564,1436,3556,6444,0.75,0.86,0.64,0.77,0.71,
8563,1437,3555,6445,0.75,0.86,0.64,0.77,0.71,
8562,1438,3554,6446,0.75,0.86,0.64,0.77,0.71,
8561,1439,3553,6447,0.75,0.86,0.64,0.77,0.71,
8560,1440,3552,6448,0.75,0.86,0.64,0.77,0.71,
8559,1441,3551,6449,0.75,0.86,0.64,0.77,0.71,
8599,1401,3592,6408,0.75,0.86,0.64,0.77,0.71,
8598,1402,3591,6409,0.75,0.86,0.64,0.77,0.71,
8597,1403,3590,6410,0.75,0.86,0.64,0.77,0.71,
8596,1404,3589,6411,0.75,0.86,0.64,0.77,0.71,
8595,1405,3588,6412,0.75,0.86,0.64,0.77,0.71,
8594,1406,3587,6413,0.75,0.86,0.64,0.77,0.71,
8593,1407,3586,6414,0.75,0.86,0.64,0.77,0.71,
8592,1408,3585,6415,0.75,0.86,0.64,0.77,0.71,
8591,1409,3584,6416,0.75,0.86,0.64,0.77,0.71,
8590,1410,3583,6417,0.75,0.86,0.64,0.77,0.71,
8589,1411,3582,6418,0.75,0.86,0.64,0.77,0.71,
8588,1412,3581,6419,0.75,0.86,0.64,0.77,0.71,
8587,1413,3580,6420,0.75,0.86,0.64,0.77,0.71,
8586,1414,3579,6421,0.75,0.86,0.64,0.77,0.71,
8585,1415,3578,6422,0.75,0.86,0.64,0.77,0.71,
8584,1416,3577,6423,0.75,0.86,0.64,0.77,0.71,
8583,1417,3576,6424,0.75,0.86,0.64,0.77,0.71,
8582,1418,3575,6425,0.75,0.86,0.64,0.77,0.71,
8581,1419,3574,6426,0.75,0.86,0.64,0.77,0.71,
8580,1420,3573,6427,0.75,0.86,0.64,0.77,0.71,
8579,1421,3572,6428,0.75,0.86,0.64,0.77,0.71,
8578,1422,3571,6429,0.75,0.86,0.64,0.77,0.71,
8577,1423,3570,6430,0.75,0.86,0.64,0.77,0.71,
8576,1424,3569,6431,0.75,0.86,0.64,0.77,0.71,
8575,1425,3568,6432,0.75,0.86,0.64,0.77,0.71,
8574,1426,3567,6433,0.75,0.86,0.64,0.77,0.71,
8573,1427,3566,6434,0.75,0.86,0.64,0.77,0.71,
8572,1428,3565,6435,0.75,0.86,0.64,0.77,0.71,
8571,1429,3564,6436,0.75,0.86,0.64,0.77,0.71,
8570,1430,3563,6437,0.75,0.86,0.64,0.77,0.71,
8569,1431,3562,6438,0.75,0.86,0.64,0.77,0.71,
8568,1432,3561,6439,0.75,0.86,0.64,0.77,0.71,
8567,1433,3560,6440,0.75,0.86,0.64,0.77,0.71,
8566,1434,3559,6441,0.75,0.86,0.64,0.77,0.71,
8565,1435,3558,6442,0.75,0.86,0.64,0.77,0.71,
8564,1436,3557,6443,0.75,0.86,0.64,0.77,0.71,
8563,1437,3556,6444,0.75,0.86,0.64,0.77,0.71,
8562,1438,3555,6445,0.75,0.86,0.64,0.77,0.71,
8561,1439,3554,6446,0.75,0.86,0.64,0.77,0.71,
8560,1440,3553,6447,0.75,0.86,0.64,0.77,0.71,
8559,1441,3552,6448,0.75,0.86,0.64,0.77,0.71,
8558,1442,3551,6449,0.75,0.86,0.64,0.77,0.71,
8600,1400,3594,6406,0.75,0.86,0.64,0.77,0.71,
8599,1401,3593,6407,0.75,0.86,0.64,0.77,0.71,
8598,1402,3592,6408,0.75,0.86,0.64,0.77,0.71,
8597,1403,3591,6409,0.75,0.86,0.64,0.77,0.71,
8596,1404,3590,6410,0.75,0.86,0.64,0.77,0.71,
8595,1405,3589,6411,0.75,0.86,0.64,0.77,0.71,
8594,1406,3588,6412,0.75,0.86,0.64,0.77,0.71,
8593,1407,3587,6413,0.75,0.86,0.64,0.77,0.71,
8592,1408,3586,6414,0.75,0.86,0.64,0.77,0.71,
8591,1409,3585,6415,0.75,0.86,0.64,0.77,0.71,
8590,1410,3584,6416,0.75,0.86,0.64,0.77,0.71,
8589,1411,3583,6417,0.75,0.86,0.64,0.77,0.71,
8588,1412,3582,6418,0.75,0.86,0.64,0.77,0.71,
8587,1413,3581,6419,0.75,0.86,0.64,0.77,0.71,
8586,1414,3580,6420,0.75,0.86,0.64,0.77,0.71,
8585,1415,3579,6421,0.75,0.86,0.64,0.77,0.71,
8584,1416,3578,6422,0.75,0.86,0.64,0.77,0.71,
8583,1417,3577,6423,0.75,0.86,0.64,0.77,0.71,
8582,1418,3576,6424,0.75,0.86,0.64,0.77,0.71,
8581,1419,3575,6425,0.75,0.86,0.64,0.77,0.71,
8580,1420,3574,6426,0.75,0.86,0.64,0.77,0.71,
8579,1421,3573,6427,0.75,0.86,0.64,0.77,0.71,
8578,1422,3572,6428,0.75,0.86,0.64,0.77,0.71,
8577,1423,3571,6429,0.75,0.86,0.64,0.77,0.71,
8576,1424,3570,6430,0.75,0.86,0.64,0.77,0.71,
8575,1425,3569,6431,0.75,0.86,0.64,0.77,0.71,
8574,1426,3568,6432,0.75,0.86,0.64,0.77,0.71,
8573,1427,3567,6433,0.75,0.86,0.64,0.77,0.71,
8572,1428,3566,6434,0.75,0.86,0.64,0.77,0.71,
8571,1429,3565,6435,0.75,0.86,0.64,0.77,0.71,
8570,1430,3564,6436,0.75,0.86,0.64,0.77,0.71,
8569,1431,3563,6437,0.75,0.86,0.64,0.77,0.71,
8568,1432,3562,6438,0.75,0.86,0.64,0.77,0.71,
8567,1433,3561,6439,0.75,0.86,0.64,0.77,0.71,
8566,1434,3560,6440,0.75,0.86,0.64,0.77,0.71,
8565,1435,3559,6441,0.75,0.86,0.64,0.77,0.71,
8564,1436,3558,6442,0.75,0.86,0.64,0.77,0.71,
8563,1437,3557,6443,0.75,0.86,0.64,0.77,0.71,
8562,1438,3556,6444,0.75,0.86,0.64,0.77,0.71,
8561,1439,3555,6445,0.75,0.86,0.64,0.77,0.71,
8560,1440,3554,6446,0.75,0.86,0.64,0.77,0.71,
8559,1441,3553,6447,0.75,0.86,0.64,0.77,0.71,
8558,1442,3552,6448,0.75,0.86,0.64,0.77,0.71,
8557,1443,3551,6449,0.75,0.86,0.64,0.77,0.71,
8602,1398,3597,6403,0.75,0.86,0.64,0.77,0.71,
8601,1399,3596,6404,0.75,0.86,0.64,0.77,0.71,
8600,1400,3595,6405,0.75,0.86,0.64,0.77,0.71,
8599,1401,3594,6406,0.75,0.86,0.64,0.77,0.71,
8598,1402,3593,6407,0.75,0.86,0.64,0.77,0.71,
8597,1403,3592,6408,0.75,0.86,0.64,0.77,0.71,
8596,1404,3591,6409,0.75,0.86,0.64,0.77,0.71,
8595,1405,3590,6410,0.75,0.86,0.64,0.77,0.71,
8594,1406,3589,6411,0.75,0.86,0.64,0.77,0.71,
8593,1407,3588,6412,0.75,0.86,0.64,0.77,0.71,
8592,1408,3587,6413,0.75,0.86,0.64,0.77,0.71,
8591,1409,3586,6414,0.75,0.86,0.64,0.77,0.71,
8590,1410,3585,6415,0.75,0.86,0.64,0.77,0.71,
8589,1411,3584,6416,0.75,0.86,0.64,0.77,0.71,
8588,1412,3583,6417,0.75,0.86,0.64,0.77,0.71,
8587,1413,3582,6418,0.75,0.86,0.64,0.77,0.71,
8586,1414,3581,6419,0.75,0.86,0.64,0.77,0.71,
8585,1415,3580,6420,0.75,0.86,0.64,0.77,0.71,
8584,1416,3579,6421,0.75,0.86,0.64,0.77,0.71,
8583,1417,3578,6422,0.75,0.86,0.64,0.77,0.71,
8582,1418,3577,6423,0.75,0.86,0.64,0.77,0.71,
8581,1419,3576,6424,0.75,0.86,0.64,0.77,0.71,
8580,1420,3575,6425,0.75,0.86,0.64,0.77,0.71,
8579,1421,3574,6426,0.75,0.86,0.64,0.77,0.71,
8578,1422,3573,6427,0.75,0.86,0.64,0.77,0.71,
8577,1423,3572,6428,0.75,0.86,0.64,0.77,0.71,
8576,1424,3571,6429,0.75,0.86,0.64,0.77,0.71,
8575,1425,3570,6430,0.75,0.86,0.64,0.77,0.71,
8574,1426,3569,6431,0.75,0.86,0.64,0.77,0.71,
8573,1427,3568,6432,0.75,0.86,0.64,0.77,0.71,
8572,1428,3567,6433,0.75,0.86,0.64,0.77,0.71,
8571,1429,3566,6434,0.75,0.86,0.64,0.77,0.71,
8570,1430,3565,6435,0.75,0.86,0.64,0.77,0.71,
8569,1431,3564,6436,0.75,0.86,0.64,0.77,0.71,
8568,1432,3563,6437,0.75,0.86,0.64,0.77,0.71,
8567,1433,3562,6438,0.75,0.86,0.64,0.77,0.71,
8566,1434,3561,6439,0.75,0.86,0.64,0.77,0.71,
